id,type,time,author,author_id,re_tweeter,associated_tweet,text
1.14E+018,tweet,1560000000000,urstruIychandu,1080060080,,1.14E+018,who said there was no outrage..u should have seen our telugu news channels at that time..there was a huge outrage & debates on channels that helped movie promotions..i see no debates on kabir singh on hindi/english news channels..
1.14E+018,tweet,1560000000000,shauryasarin,99126714,,1.14E+018,Watched  kabirsingh ... I just loved it  .. Kaminey was most favourite movie of   shahidkapoor  but now it's Kabir Singh    Shahid sir rockss .. and in love with  Advani_Kiara .. i wanna watch this movie again  everything is so  awesome about Kabir Singh pic.twitter.com/mt5uU6h82J
1.14E+018,tweet,1560000000000,humayun83,168566207,,1.14E+018,She made me remember  iam_juhi with her innocence and vulnerability in the character of preeti and  Advani_Kiara just nailed it.  KabirSingh  KiaraAdvani  JuhiChawla  ShahidKapoor
1.14E+018,tweet,1560000000000,humayun83,168566207,,1.14E+018,kabirsingh A total mass entertainer with a superlative performance by  shahidkapoor portraying the complex character brilliantly although the character in general was not that of a great human.  Advani_Kiara and her innocence will remind u of  iam_juhi and she did well too...
1.14E+018,tweet,1560000000000,vbhvagarwal_,159896352,,1.14E+018,"""It's not the goodbye that hurts"
1.14E+018,tweet,1560000000000,rahul007sarkar,79664850,,1.14E+018,KabirSingh RT if you loved and can't stop laughing when Kabir was chasing his maid for breaking his alcohol glass. pic.twitter.com/RGaTdToaCr
1.14E+018,tweet,1560000000000,Jessiepinkkmann,1.11E+018,,1.14E+018,"""Game over And Kabir Singh "
1.14E+018,tweet,1560000000000,CultVarun,1.1E+018,,1.14E+018,"""Best thing about  KabirSingh is that everyone has a different opinion"
1.14E+018,tweet,1560000000000,rishantdhiman,355413070,,1.14E+018,shahidkapoor you're literally one of the best actors of our industry.  KabirSingh just reinstates that fact. You made me cry and pierced my heart as well.Brilliant performance..You own the industry  FavouriteMovie
1.14E+018,tweet,1560000000000,nasirraza94,3016113996,,1.14E+018,shahidkapoor  KabirSingh ne  laga di box office mein... Aise craziness zamane baad dekha hai... The energy is crazier than  AvengersEndgame  shahidkapoor & deserves it. Happy for him.pic.twitter.com/dJdsLM9qfc
1.14E+018,tweet,1560000000000,psIDontLoveU,172657843,,1.14E+018,Wow....did not expect to see  nikifyinglife in kabir Singh...you looked awesome...if I were kabir I would have never left...congrats
1.14E+018,tweet,1560000000000,nasirraza94,3016113996,,1.14E+018,Advani_Kiara  KabirSingh ne  laga di box office mein... Aise craziness zamane baad dekha hai... The energy is crazier than  AvengersEndgame  shahidkapoor & deserves it. Happy for him.pic.twitter.com/dJdsLM9qfc
