Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
39,Andhra Pradesh,Vijayawada,16.7358,80.4104,Kesineni Srinivas (Nani),GEN,GEN,Telugu Desam,Bicycle,1201120,77.47,74714
40,Andhra Pradesh,Visakhapatnam,17.9766,83.2078,Kambhampati Hari Babu,GEN,GEN,Bharatiya Janata Party,Lotus,1188861,74.02,90488
41,Andhra Pradesh,Vizianagaram,18.2229,83.507,Ashok Gajapathi Raju Pusapati,GEN,GEN,Telugu Desam,Bicycle,1214363,77.14,106911
42,Andhra Pradesh,Warangal,17.8666,79.6502,Kadiyam Srihari,SC,SC,Telangana Rashtra Samithi,Car,1161241,78.05,392574
43,Andhra Pradesh,Zahirabad,23.6093,72.949,B.B. Patil,GEN,GEN,Telangana Rashtra Samithi,Car,1199137,82.59,144631
44,Arunachal Pradesh,Arunachal East,28.3591,95.8987,Ninong Ering,GEN,ST,Indian National Congress,Hand,337671,76.15,12478
45,Arunachal Pradesh,Arunachal West,27.5077,93.4196,Kiren Rijiju,GEN,ST,Bharatiya Janata Party,Lotus,263157,71.93,41738
46,Assam,Autonomous District,26.1861,93.5813,Biren Singh Engti,ST,ST,Indian National Congress,Hand,887782,76.15,24095
47,Assam,Barpeta,26.3282,91.7654,Siraj Uddin Ajmal,GEN,GEN,All India United Democratic Front,Lock and Key,800058,71.93,42341
48,Assam,Dhubri,26.1358,90.2245,Badruddin Ajmal,GEN,GEN,All India United Democratic Front,Lock and Key,543717,72.69,229730
49,Assam,Dibrugarh,27.3549,95.3103,Rameswar Teli,GEN,GEN,Bharatiya Janata Party,Lotus,1369722,69.11,185347
50,Assam,Gauhati,26.1288,91.4435,Bijoya Chakravarty,GEN,GEN,Bharatiya Janata Party,Lotus,1224243,76.09,315784
51,Assam,Jorhat,27.0031,94.645,Kamakhya Prasad Tasa,GEN,GEN,Bharatiya Janata Party,Lotus,1207044,77.7,102420
