Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
178,Karnataka,Bangalore North,12.972442,77.580643,D.V Sadananda Gowda,GEN,GEN,Bharatiya Janata Party,Lotus,1079324,72.69,229764
179,Karnataka,Bangalore Rural,13.2,77.7,D K Suresh,GEN,GEN,Indian National Congress,Hand,966797,69.11,231480
180,Karnataka,Bangalore South,12.58,77.38,Ananth Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,998086,76.09,228575
181,Karnataka,Belgaum,15.9135,75.0611,Angadi Suresh Channabasappa,GEN,GEN,Bharatiya Janata Party,Lotus,969047,77.7,75860
182,Karnataka,Bellary,15.095,76.5488,B. Sreeramulu,ST,ST,Bharatiya Janata Party,Lotus,963206,51.05,85144
183,Karnataka,Bidar,17.9,77.1025,Bhagwanth Khuba,GEN,GEN,Bharatiya Janata Party,Lotus,1007430,53.06,92222
184,Karnataka,Bijapur,16.6148,75.8999,Ramesh Jigajinagi,SC,SC,Bharatiya Janata Party,Lotus,1045913,53.3,69819
185,Karnataka,Chamarajanagar,11.9328,76.6413,R. Dhruvanarayana,SC,SC,Indian National Congress,Hand,1116368,60.51,141182
186,Karnataka,Chikkballapur,13.3323,77.6536,M Veerappa Moily,GEN,GEN,Indian National Congress,Hand,1041470,71.58,9520
187,Karnataka,Chikkodi,16.436,74.6869,Prakash Babanna Hukkeri,GEN,GEN,Indian National Congress,Hand,1001470,75.55,3003
188,Karnataka,Chitradurga,14.0966,76.6413,B.N.Chandrappa,SC,SC,Indian National Congress,Hand,1115132,79.75,101291
189,Karnataka,Dakshina Kannada,12.8438,75.2479,Nalin Kumar Kateel,GEN,GEN,Bharatiya Janata Party,Lotus,1130364,81.27,143709
190,Karnataka,Davanagere,15.4375,75.0219,G M Siddeshwara,GEN,GEN,Bharatiya Janata Party,Lotus,1034334,76.52,17607
191,Karnataka,Dharwad,15.3778,75.2479,Pralhad Joshi,GEN,GEN,Bharatiya Janata Party,Lotus,1147534,81.21,113657
192,Karnataka,Gulbarga,17.1452,76.9182,Mallikarjun Kharge,SC,SC,Indian National Congress,Hand,1207583,82.55,74733
193,Karnataka,Hassan,13.0753,76.1784,H.D. Devegowda,GEN,GEN,Janata Dal  (Secular),A lady farmer carrying paddy on her head,1097666,71.82,100462
194,Karnataka,Haveri,15.0373,75.6208,Udasi Shivakumar Channabasappa,GEN,GEN,Bharatiya Janata Party,Lotus,1102012,74.6,87571
195,Karnataka,Kolar,13.177,78.202,K.H.Muniyappa,SC,SC,Indian National Congress,Hand,1193041,80.19,47850
196,Karnataka,Koppal,12.349,76.5632,Karadi Sanganna Amarappa,GEN,GEN,Bharatiya Janata Party,Lotus,1159628,67.53,32414
197,Karnataka,Mandya,12.5644,76.7337,C.S.Puttaraju,GEN,GEN,Janata Dal  (Secular),A lady farmer carrying paddy on her head,1133326,82.01,5518
198,Karnataka,Mysore,12.3472,75.9928,Prathap Simha,GEN,GEN,Bharatiya Janata Party,Lotus,1455610,77.68,31608
199,Karnataka,Raichur,16.3186,77.0104,B.V.Nayak,ST,ST,Indian National Congress,Hand,1357553,82.63,1499
200,Karnataka,Shimoga,14.0086,75.1545,B. S. Yeddyurappa,GEN,GEN,Bharatiya Janata Party,Lotus,1074602,81.38,363305
201,Karnataka,Tumkur,13.371,76.6413,Muddahanumegowda.S.P.,GEN,GEN,Indian National Congress,Hand,1114359,82.19,74041
202,Karnataka,Udupi Chikmagalur,13.3937,75.4345,Shobha Karandlaje,GEN,GEN,Bharatiya Janata Party,Lotus,1263911,84.27,181643
203,Karnataka,Uttara Kannada,14.9754,74.6869,Anantkumar Hegde,GEN,GEN,Bharatiya Janata Party,Lotus,1127340,83.48,140700
204,Kerala,Alappuzha,9.5619,76.3406,K C Venugopal,GEN,GEN,Indian National Congress,Hand,975195,76.15,19407
205,Kerala,Alathur ,10.6405,76.5026,P.K.Biju,SC,SC,Communist Party Of India  (Marxist),"Hammer,948572,71.93, Sickle and Star"
206,Kerala,Attingal,8.6551,76.9643,Dr.A .Sampath,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,960264,72.69, Sickle and Star"
207,Kerala,Chalakudy,10.247,76.5488,Innocent,GEN,GEN,Independent,Pot,915138,69.11,13884
208,Kerala,Ernakulam,10.0393,76.2943,Prof. K.V. Thomas,GEN,GEN,Indian National Congress,Hand,943227,76.09,87047
209,Kerala,Idukki,9.8138,76.9297,Adv.Joice George,GEN,GEN,Independent,Battery Torch,853468,77.7,50542
210,Kerala,Kannur,11.9709,75.6208,P K Sreemathi Teacher,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,871595,51.05, Sickle and Star"
211,Kerala,Kasaragod,12.3074,75.2479,P Karunakaran,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,910476,53.06, Sickle and Star"
212,Kerala,Kollam,8.9969,76.8721,N.K.Premachandran,GEN,GEN,Revolutionary Socialist Party,Spade & Stoker,928656,53.3,37649
213,Kerala,Kottayam,9.7225,76.5488,Jose K. Mani,GEN,GEN,Kerala Congress  (M),Two Leaves,920667,60.51,120599
214,Kerala,Kozhikode,11.4055,75.8534,M .K Raghavan,GEN,GEN,Indian National Congress,Hand,885037,71.58,16883
215,Kerala,Malappuram,11.0648,76.132,E. Ahamed,GEN,GEN,Indian Union Muslim League,Ladder,850910,75.55,194739
216,Kerala,Mavelikkara ,8.9936,76.7798,Kodikunnil Suresh,SC,SC,Indian National Congress,Hand,820267,79.75,32737
217,Kerala,Palakkad,10.9513,76.5488,M B Rajesh,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,832421,81.27, Sickle and Star"
218,Kerala,Pathanamthitta,9.3435,76.8721,Anto Antony,GEN,GEN,Indian National Congress,Hand,998656,76.52,56191
219,Kerala,Ponnani,10.884,76.0392,E. T. Mohammed Basheer,GEN,GEN,Indian Union Muslim League,Ladder,889269,81.21,25410
220,Kerala,Thiruvananthapuram,8.524139,76.936638,Dr. Shashi Tharoor,GEN,GEN,Indian National Congress,Hand,871251,82.55,15470
221,Kerala,Thrissur,10.4525,76.2247,C. N. Jayadevan,GEN,GEN,Communist Party Of India,Ears of Corn And Sickle,879228,71.82,38227
222,Kerala,Vadakara,11.6622,75.6674,Mullappally Ramachandran,GEN,GEN,Indian National Congress,Hand,859365,74.6,3306
223,Kerala,Wayanad,11.2882,76.1784,M I Shanavas,GEN,GEN,Indian National Congress,Hand,873462,80.19,20870
224,Lakshadweep,Lakshadweep,10,73,Mohammed Faizal P.P.,ST,ST,Nationalist Congress Party,Clock,43242,76.15,1535
225,Madhya Pradesh,Balaghat,21.8498,80.1875,Bodhsingh Bhagat,GEN,GEN,Bharatiya Janata Party,Lotus,854281,76.15,96041
226,Madhya Pradesh,Betul,21.9672,77.7452,Jyoti Dhurve,ST,ST,Bharatiya Janata Party,Lotus,729367,71.93,328614
227,Madhya Pradesh,Bhind,26.2586,78.7476,Dr. Bhagirath Prasad,SC,SC,Bharatiya Janata Party,Lotus,991071,72.69,159961
228,Madhya Pradesh,Bhopal,23.5239,77.2865,Alok Sanjar,GEN,GEN,Bharatiya Janata Party,Lotus,977619,69.11,370696
229,Madhya Pradesh,Chhindwara,22.0459,78.8383,Kamal Nath,GEN,GEN,Indian National Congress,Hand,892000,76.09,116537
230,Madhya Pradesh,Damoh,23.952,79.2,Prahalad Singh Patel,GEN,GEN,Bharatiya Janata Party,Lotus,766878,77.7,213299
231,Madhya Pradesh,Dewas,23.2583,76.3637,Manohar Untwal,SC,SC,Bharatiya Janata Party,Lotus,913868,51.05,260313
232,Madhya Pradesh,Dhar,22.4959,75.1545,Savitri Thakur,ST,ST,Bharatiya Janata Party,Lotus,874531,53.06,104328
233,Madhya Pradesh,Guna,24.9643,77.7452,Jyotiraditya M Scindia,GEN,GEN,Indian National Congress,Hand,913451,53.3,120792
234,Madhya Pradesh,Gwalior,25.8268,78.0195,Narendra Singh Tomar,GEN,GEN,Bharatiya Janata Party,Lotus,830192,60.51,29699
235,Madhya Pradesh,Hoshangabad,22.6718,78.3842,Uday Pratap Singh,GEN,GEN,Bharatiya Janata Party,Lotus,989576,71.58,389960
236,Madhya Pradesh,Indore,22.8354,75.8069,Sumitra Mahajan (Tai),GEN,GEN,Bharatiya Janata Party,Lotus,969116,75.55,466901
237,Madhya Pradesh,Jabalpur,23.1478,79.8297,Rakesh Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1002210,79.75,208639
238,Madhya Pradesh,Khajuraho,24.301,80.1875,Nagendra Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1218661,81.27,247490
239,Madhya Pradesh,Khandwa,22.5861,75.6467,Nandkumar Singh Chouhan (Nandu Bhaiya),GEN,GEN,Bharatiya Janata Party,Lotus,1113381,76.52,259714
240,Madhya Pradesh,Khargone,21.785,75.5277,Subhash Patel,ST,ST,Bharatiya Janata Party,Lotus,1107631,81.21,257879
241,Madhya Pradesh,Mandla,22.9352,80.9871,Faggan Singh Kulaste,ST,ST,Bharatiya Janata Party,Lotus,1031823,82.55,110469
242,Madhya Pradesh,Mandsour,24.3551,75.1545,Sudhir Gupta,GEN,GEN,Bharatiya Janata Party,Lotus,1073781,71.82,303649
243,Madhya Pradesh,Morena,25.9499,77.2865,Anoop Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,1130281,74.6,132981
244,Madhya Pradesh,Rajgarh,24.2171,77.173,Rodmal Nagar,GEN,GEN,Bharatiya Janata Party,Lotus,1010811,80.19,228737
245,Madhya Pradesh,Ratlam,22.9159,74.6869,Dileepsingh Bhuria,ST,ST,Bharatiya Janata Party,Lotus,1144151,67.53,108457
246,Madhya Pradesh,Rewa,24.530727,81.29911,Janardan Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,1016415,82.01,168726
247,Madhya Pradesh,Sagar,21.6458,88.0583,Laxmi Narayan Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,1161599,77.68,120737
248,Madhya Pradesh,Satna,24.5339,80.8987,Ganesh Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1083131,82.63,8688
249,Madhya Pradesh,Shahdol,23.4225,81.2519,Dalpat Singh Paraste,ST,ST,Bharatiya Janata Party,Lotus,1077052,81.38,241301
250,Madhya Pradesh,Sidhi,24.1266,82.0407,Riti Pathak,GEN,GEN,Bharatiya Janata Party,Lotus,1317016,82.19,108046
251,Madhya Pradesh,Tikamgarh,24.9909,79.2902,Dr. Virendra Kumar,SC,SC,Bharatiya Janata Party,Lotus,1152674,84.27,208731
252,Madhya Pradesh,Ujjain,23.2756,75.5277,Prof. Chintamani Malviya,SC,SC,Bharatiya Janata Party,Lotus,1257711,83.48,309663
253,Madhya Pradesh,Vidisha,23.1935,77.8367,Sushma Swaraj,GEN,GEN,Bharatiya Janata Party,Lotus,1047827,76.64,410698
254,Maharashtra,Ahmadnagar ,19.0168,74.6869,Gandhi Dilipkumar Mansukhlal,GEN,GEN,Bharatiya Janata Party,Lotus,1117024,76.15,209122
255,Maharashtra,Akola,20.6863,76.9182,Dhotre Sanjay Shamrao,GEN,GEN,Bharatiya Janata Party,Lotus,983116,71.93,203116
256,Maharashtra,Amravati ,21.2762,77.2865,Adsul Anandrao Vithoba,SC,SC,Shivsena,Bow & Arrow,990604,72.69,137932
257,Maharashtra,Aurangabad,19.976,75.0611,Chandrakant Bhaurao Khaire,GEN,GEN,Shivsena,Bow & Arrow,1011417,69.11,162000
258,Maharashtra,Baramati,18.246,74.3118,Supriya Sule,GEN,GEN,Nationalist Congress Party,Clock,978876,76.09,69719
259,Maharashtra,Beed,18.922,75.8069,Munde Gopinathrao Pandurang,GEN,GEN,Bharatiya Janata Party,Lotus,978630,77.7,136454
260,Maharashtra,Bhandara - Gondiya,20.9847,79.9193,Nanabhau Falgunrao Patole,GEN,GEN,Bharatiya Janata Party,Lotus,1004542,51.05,149254
261,Maharashtra,Bhiwandi,19.454,73.3709,Kapil Moreshwar Patil,GEN,GEN,Bharatiya Janata Party,Lotus,1013608,53.06,109450
262,Maharashtra,Buldhana,20.4561,76.3637,Jadhav Prataprao Ganpatrao,GEN,GEN,Shivsena,Bow & Arrow,1050640,53.3,159579
263,Maharashtra,Chandrapur,19.8115,79.2,Ahir Hansraj Gangaram,GEN,GEN,Bharatiya Janata Party,Lotus,1085765,60.51,236269
264,Maharashtra,Dhule,20.8719,74.6869,Dr. Bhamre Subhash Ramrao,GEN,GEN,Bharatiya Janata Party,Lotus,1197398,71.58,130723
265,Maharashtra,Dindori ,20.1967,74.4057,Chavan Harishchandra Deoram,ST,ST,Bharatiya Janata Party,Lotus,1028462,75.55,247619
266,Maharashtra,Gadchiroli-Chimur,20.1,79.9,Ashok Mahadeorao Nete,ST,ST,Bharatiya Janata Party,Lotus,1109888,79.75,236870
267,Maharashtra,Hatkanangle,16.9429,74.124,Raju Shetty,GEN,GEN,Swabhimani Paksha,Whistle,1033402,81.27,177810
268,Maharashtra,Hingoli ,19.6171,77.6536,Rajeev Shankarrao Satav,GEN,GEN,Indian National Congress,Hand,1051477,76.52,1632
269,Maharashtra,Jalgaon,20.736,75.2479,A.T. Nana Patil,GEN,GEN,Bharatiya Janata Party,Lotus,1014020,81.21,383525
270,Maharashtra,Jalna,20.0231,75.6208,Danve Raosaheb Dadarao,GEN,GEN,Bharatiya Janata Party,Lotus,1162371,82.55,206798
271,Maharashtra,Kalyan,19.1762,73.1114,Dr.Shrikant Eknath Shinde,GEN,GEN,Shivsena,Bow & Arrow,1066375,71.82,250749
272,Maharashtra,Kolhapur,16.3935,74.124,Dhananjay Bhimrao Mahadik,GEN,GEN,Nationalist Congress Party,Clock,983057,74.6,33259
273,Maharashtra,Latur ,18.4457,76.9182,Dr. Sunil Baliram Gaikwad,SC,SC,Bharatiya Janata Party,Lotus,970316,80.19,253395
274,Maharashtra,Madha,18.077,75.5517,Mohite Patil Vijaysinh Shankarrao,GEN,GEN,Nationalist Congress Party,Clock,937600,67.53,25344
275,Maharashtra,Maval,18.901,73.3709,Appa Alias Shrirang Chandu Barne,GEN,GEN,Shivsena,Bow & Arrow,992770,82.01,157397
276,Maharashtra,Mumbai   South,18.9706,72.822,Arvind Sawant,GEN,GEN,Shivsena,Bow & Arrow,875814,77.68,128564
277,Maharashtra,Mumbai North,19.2079,72.8397,Gopal Chinayya Shetty,GEN,GEN,Bharatiya Janata Party,Lotus,825414,82.63,446582
278,Maharashtra,Mumbai North Central,19.0722,72.8634,Poonam Mahajan Alias Poonam Vajendla Rao,GEN,GEN,Bharatiya Janata Party,Lotus,1054575,81.38,186771
279,Maharashtra,Mumbai North East,19.125,72.9342,Kirit  Somaiya,GEN,GEN,Bharatiya Janata Party,Lotus,946717,82.19,317122
280,Maharashtra,Mumbai North West,19.1412,72.8634,Gajanan Chandrakant Kirtikar,GEN,GEN,Shivsena,Bow & Arrow,897871,84.27,183028
281,Maharashtra,Mumbai South Central,19.0307,72.9106,Rahul Ramesh Shewale,GEN,GEN,Shivsena,Bow & Arrow,862522,83.48,138180
282,Maharashtra,Nagpur ,21.145,79.0871,Gadkari Nitin Jairam,GEN,GEN,Bharatiya Janata Party,Lotus,845455,76.64,284848
283,Maharashtra,Nanded,18.8691,77.6536,Ashok Shankarrao Chavan,GEN,GEN,Indian National Congress,Hand,768750,79.31,81455
284,Maharashtra,Nandurbar ,21.1905,74.124,Dr.Gavit Heena Vijaykumar,ST,ST,Bharatiya Janata Party,Lotus,779859,84.68,106905
285,Maharashtra,Nashik,19.8586,73.7478,Godse Hemant Tukaram,GEN,GEN,Shivsena,Bow & Arrow,988192,85.16,187336
286,Maharashtra,Osmanabad,18.1933,75.9928,Gaikwad Ravindra Vishwanath,GEN,GEN,Shivsena,Bow & Arrow,1174380,82.23,234325
287,Maharashtra,Palghar ,17.949,73.2972,Adv. Chintaman Navasha Wanga,ST,ST,Bharatiya Janata Party,Lotus,993966,76.71,239520
288,Maharashtra,Parbhani,19.2644,76.6413,Jadhav Sanjay (Bandu) Haribhau,GEN,GEN,Shivsena,Bow & Arrow,1066963,72.08,127155
289,Maharashtra,Pune,18.5577,73.9125,Anil Shirole,GEN,GEN,Bharatiya Janata Party,Lotus,1089573,78.87,315769
290,Maharashtra,Raigad,17.9813,73.3709,Anant Geete,GEN,GEN,Shivsena,Bow & Arrow,1062780,81.53,2110
291,Maharashtra,Ramtek ,21.3544,77.3525,Krupal Balaji Tumane,SC,SC,Shivsena,Bow & Arrow,932893,77.47,175791
292,Maharashtra,Ratnagiri - Sindhudurg,16.7145,73.5594,Vinayak Bhaurao Raut,GEN,GEN,Shivsena,Bow & Arrow,1232390,74.02,150051
293,Maharashtra,Raver,20.9859,75.9928,Khadase Raksha Nikhil,GEN,GEN,Bharatiya Janata Party,Lotus,1119704,77.14,318068
294,Maharashtra,Sangli,17.1707,74.6869,Sanjaykaka Patil,GEN,GEN,Bharatiya Janata Party,Lotus,1057579,78.05,239292
295,Maharashtra,Satara,17.578,74.03,Shrimant Chh.  Udayanraje Pratapsinha Bhonsale,GEN,GEN,Nationalist Congress Party,Clock,951510,82.59,366594
296,Maharashtra,Shirdi,19.5398,74.3118,Lokhande Sadashiv Kisan,SC,SC,Shivsena,Bow & Arrow,1080167,75.6,199922
297,Maharashtra,Shirur,18.9519,73.936,Adhalrao Shivaji Dattatrey,GEN,GEN,Shivsena,Bow & Arrow,1047510,84.16,301814
298,Maharashtra,Solapur ,17.6238,75.8069,Sharad Bansode,SC,SC,Bharatiya Janata Party,Lotus,976702,76.14,149674
299,Maharashtra,Thane,19.0753,73.0169,Vichare Rajan Baburao,GEN,GEN,Shivsena,Bow & Arrow,896409,75.46,281299
300,Maharashtra,Wardha,21.0716,78.2163,Ramdas Chandrabhanji Tadas,GEN,GEN,Bharatiya Janata Party,Lotus,1261018,77.43,215783
301,Maharashtra,Yavatmal-Washim,20.3793,77.8367,Gawali Bhavana Pundlikrao,GEN,GEN,Shivsena,Bow & Arrow,1190332,88.36,93816
302,Manipur,Inner Manipur,24.7122,93.8655,Dr. Thokchom Meinya,GEN,GEN,Indian National Congress,Hand,641314,76.15,94674
303,Manipur,Outer Manipur,24.2994,93.2584,Thangso Baite,ST,ST,Indian National Congress,Hand,773817,71.93,15637
304,Meghalaya,Shillong,25.4638,91.6761,Vincent H. Pala,ST,ST,Indian National Congress,Hand,620041,76.15,40379
305,Meghalaya,Tura ,25.4727,90.4502,Purno Agitok Sangma,ST,ST,National Peoples Party,Book,458254,71.93,39716
306,Mizoram,Mizoram,23.1645,92.9376,C. L. Ruala,ST,ST,Indian National Congress,Hand,434962,76.15,6154
307,Nagaland,Nagaland,26.1584,94.5624,Neiphiu Rio,GEN,ST,Naga Peoples Front,Cock,1039962,76.15,400225
308,Nct Of Delhi,Chandni Chowk                 ,28.6981,77.16,Dr. Harsh Vardhan,GEN,GEN,Bharatiya Janata Party,Lotus,982275,76.15,136320
309,Nct Of Delhi,East Delhi                    ,28.6196,77.298,Maheish Girri,GEN,GEN,Bharatiya Janata Party,Lotus,1317974,71.93,190463
310,Nct Of Delhi,New Delhi                     ,28.6108,77.206,Meenakashi Lekhi,GEN,GEN,Bharatiya Janata Party,Lotus,1196731,72.69,162708
311,Nct Of Delhi,North East Delhi              ,28.6966,77.2635,Manoj Tiwari,GEN,GEN,Bharatiya Janata Party,Lotus,970169,69.11,144084
312,Nct Of Delhi,North West Delhi              ,28.7454,77.0564,Udit Raj,SC ,SC,Bharatiya Janata Party,Lotus,1356404,76.09,106802
313,Nct Of Delhi,South Delhi                   ,28.4961,77.206,Ramesh Bidhuri,GEN,GEN,Bharatiya Janata Party,Lotus,1348744,77.7,107000
314,Nct Of Delhi,West Delhi                    ,28.5783,76.9873,Parvesh Sahib Singh Verma,GEN,GEN,Bharatiya Janata Party,Lotus,1102849,51.05,268586
315,Odisha,Aska,19.586,84.6897,Ladu Kishore Swain,GEN,GEN,Biju Janata Dal,Conch,1126153,76.15,311997
316,Odisha,Balasore,21.5435,86.9824,Rabindra Kumar Jena,GEN,GEN,Biju Janata Dal,Conch,1010723,71.93,141825
317,Odisha,Bargarh,22.0462,84.1092,Prabhas Kumar Singh,GEN,GEN,Biju Janata Dal,Conch,984697,72.69,11178
318,Odisha,Berhampur,21.6137,87.0368,Sidhant Mohapatra,GEN,GEN,Biju Janata Dal,Conch,1084571,69.11,127720
319,Odisha,Bhadrak ,21.1563,86.6611,Arjun Charan Sethi,SC,SC,Biju Janata Dal,Conch,1054555,76.09,179359
320,Odisha,Bhubaneswar,20.1322,85.5612,Prasanna Kumar Patasani,GEN,GEN,Biju Janata Dal,Conch,1049861,77.7,189477
321,Odisha,Bolangir,20.679,83.3362,Kalikesh Narayan Singh Deo,GEN,GEN,Biju Janata Dal,Conch,1081971,51.05,104299
322,Odisha,Cuttack,20.3602,85.1894,Bhartruhari Mahatab,GEN,GEN,Biju Janata Dal,Conch,981780,53.06,306762
323,Odisha,Dhenkanal,20.8424,85.4376,Tathagata Satpathy,GEN,GEN,Biju Janata Dal,Conch,1042111,53.3,137340
324,Odisha,Jagatsinghpur ,20.1941,86.1752,Kulamani Samal,SC,SC,Biju Janata Dal,Conch,1170961,60.51,276394
325,Odisha,Jajpur ,22.2173,84.3279,Rita Tarai,SC,SC,Biju Janata Dal,Conch,1117831,71.58,320271
326,Odisha,Kalahandi,19.2511,83.4208,Arka Keshari Deo,GEN,GEN,Biju Janata Dal,Conch,1022187,75.55,56347
327,Odisha,Kandhamal,20.4219,84.1013,Hemendra Chandra Singh,GEN,GEN,Biju Janata Dal,Conch,839796,79.75,181017
328,Odisha,Kendrapara ,20.5848,86.6611,Baijayant Panda,GEN,GEN,Biju Janata Dal,Conch,980556,81.27,209300
329,Odisha,Keonjhar ,21.6124,85.7667,Sakuntala Laguri,ST,ST,Biju Janata Dal,Conch,1137607,76.52,157317
330,Odisha,Koraput ,18.8561,82.7347,Jhina Hikaka,ST,ST,Biju Janata Dal,Conch,1132868,81.21,19328
331,Odisha,Mayurbhanj ,21.9,86.7,Rama Chandra Hansdah,ST,ST,Biju Janata Dal,Conch,1039487,82.55,122866
332,Odisha,Nabarangpur ,19.14,82.32,Balabhadra Majhi,ST,ST,Biju Janata Dal,Conch,891958,71.82,2042
333,Odisha,Puri,20.0308,85.3136,Pinaki Misra,GEN,GEN,Biju Janata Dal,Conch,896461,74.6,263361
334,Odisha,Sambalpur,21.1932,84.4383,Nagendra Kumar Pradhan,GEN,GEN,Biju Janata Dal,Conch,905933,80.19,30576
335,Odisha,Sundargarh ,21.9647,84.7733,Jual @ Juel Oram,ST,ST,Bharatiya Janata Party,Lotus,990657,67.53,18829
336,Puducherry,Puducherry,11.916064,79.812325,R. Radhakrishnan,GEN,GEN,All India N.R. Congress,Jug,740053,76.15,60854
337,Punjab,Amritsar,31.6945,74.6869,Captain Amarinder Singh,GEN,GEN,Indian National Congress,Hand,1042748,76.15,102770
338,Punjab,Anandpur Sahib,31.186,76.5688,Prem Singh Chandumajra,GEN,GEN,Shiromani Akali Dal,Scales,1007286,71.93,23697
339,Punjab,Bathinda,30.1252,75.0611,Harsimrat Kaur Badal,GEN,GEN,Shiromani Akali Dal,Scales,1040622,72.69,19395
340,Punjab,Faridkot,30.6657,75.0611,Prof. Sadhu Singh,SC,SC,Aam Aadmi Party,Broom,1040778,69.11,172516
341,Punjab,Fatehgarh Sahib,30.7915,76.1784,Harinder Singh Khalsa,SC,SC,Aam Aadmi Party,Broom,961562,76.09,54144
342,Punjab,Firozpur,30.5758,74.3118,Sher Singh Ghubaya,GEN,SC,Shiromani Akali Dal,Scales,1087487,77.7,31420
343,Punjab,Gurdaspur,31.9619,75.4345,Vinod Khanna,GEN,GEN,Bharatiya Janata Party,Lotus,1101967,51.05,136065
344,Punjab,Hoshiarpur,31.6479,75.8069,Vijay Sampla,SC,SC,Bharatiya Janata Party,Lotus,1031030,53.06,13582
345,Punjab,Jalandhar,31.2187,75.5742,Santokh Singh Chaudhary,SC,SC,Indian National Congress,Hand,1032345,53.3,70981
346,Punjab,Khadoor Sahib,31.4236,75.0991,Ranjit Singh Brahmpura,GEN,GEN,Shiromani Akali Dal,Scales,1105648,60.51,100569
347,Punjab,Ludhiana,30.8702,75.6674,Ravneet Singh Bittu,GEN,GEN,Indian National Congress,Hand,1176977,71.58,19709
348,Punjab,Patiala,30.2498,76.1784,Dr. Dharam Vira Gandhi,GEN,GEN,Aam Aadmi Party,Broom,1100056,75.55,20942
349,Punjab,Sangrur,30.1591,75.7604,Bhagwant Mann,GEN,GEN,Aam Aadmi Party,Broom,1120990,79.75,211721
350,Rajasthan,Ajmer,26.1668,74.7805,Sanwar Lal Jat ,GEN,GEN,Bharatiya Janata Party,Lotus,1257361,76.15,171983
351,Rajasthan,Alwar,27.874,76.5951,Chand Nath,GEN,GEN,Bharatiya Janata Party,Lotus,930766,71.93,283895
352,Rajasthan,Banswara,23.6009,74.124,Manshankar Ninama ,ST,ST,Bharatiya Janata Party,Lotus,1131930,72.69,91916
353,Rajasthan,Barmer,26.2288,70.812,Col. Sona Ram,GEN,GEN,Bharatiya Janata Party,Lotus,1008641,69.11,87461
354,Rajasthan,Bharatpur,27.2311,77.1025,Bahadur Singh Koli,SC,SC,Bharatiya Janata Party,Lotus,1067462,76.09,245468
355,Rajasthan,Bhilwara,25.4283,74.7805,Subhash Baheria,GEN,GEN,Bharatiya Janata Party,Lotus,1016230,77.7,246264
356,Rajasthan,Bikaner,28.1889,73.2765,Arjun Ram Meghwal ,SC,SC,Bharatiya Janata Party,Lotus,1298951,51.05,308079
357,Rajasthan,Chittorgarh,24.6489,74.4057,Chandra Prakash Joshi,GEN,GEN,Bharatiya Janata Party,Lotus,1063043,53.06,316857
358,Rajasthan,Churu,28.3686,74.7805,Rahul Kaswan ,GEN,GEN,Bharatiya Janata Party,Lotus,963675,53.3,294739
359,Rajasthan,Dausa,26.7909,76.3637,Harish Chandra Meena ,ST,ST,Bharatiya Janata Party,Lotus,846343,60.51,45404
360,Rajasthan,Ganganagar,29.5275,73.8419,Nihalchand,SC,SC,Bharatiya Janata Party,Lotus,930921,71.58,291741
361,Rajasthan,Jaipur,26.8436,75.7371,Ramcharan Bohara,GEN,GEN,Bharatiya Janata Party,Lotus,1043925,75.55,539345
362,Rajasthan,Jaipur Rural,27.3075,75.9928,Rajyavardhan Singh Rathore ,GEN,GEN,Bharatiya Janata Party,Lotus,1156867,79.75,332896
363,Rajasthan,Jalore,25.1721,72.5205,Devji Patel ,GEN,GEN,Bharatiya Janata Party,Lotus,1005523,81.27,381145
364,Rajasthan,Jhalawar-Baran,24.5806,76.5488,Dushyant Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1097253,76.52,281546
365,Rajasthan,Jhunjhunu,28.0855,75.5277,Santosh Ahlawat,GEN,GEN,Bharatiya Janata Party,Lotus,1079798,81.21,233835
366,Rajasthan,Jodhpur,26.9527,72.1416,Gajendrasingh Shekhawat ,GEN,GEN,Bharatiya Janata Party,Lotus,1219174,82.55,410051
367,Rajasthan,Karauli-Dholpur,26.5071,77.2865,Manoj Rajoriya,SC,SC,Bharatiya Janata Party,Lotus,1088045,71.82,27216
368,Rajasthan,Kota,25.1709,75.8999,Om Birla ,GEN,GEN,Bharatiya Janata Party,Lotus,1193815,74.6,200782
369,Rajasthan,Nagaur,27.1411,73.6536,C R Choudhary,GEN,GEN,Bharatiya Janata Party,Lotus,1171488,80.19,75218
370,Rajasthan,Pali,28.5182,77.549,P P Chaudhary,GEN,GEN,Bharatiya Janata Party,Lotus,1172997,67.53,399039
371,Rajasthan,Rajsamand,26.3705,74.124,Hariom Singh Rathore,GEN,GEN,Bharatiya Janata Party,Lotus,983032,82.01,395705
